Time V,C1 True RMS,C2 True RMS,Time S,Strain
0,0.006118242,0.949939283,0,0.179300051
0.1,0.006043627,0.949951491,0.1,0.179281277
0.2,0.006035522,0.950938224,0.2,0.179319126
0.3,0.006064339,0.951058875,0.3,0.179242823
0.4,0.00586526,0.950618454,0.4,0.17920838
0.5,0.005917122,0.950616065,0.5,0.179338127
0.6,0.005746866,0.951015969,0.6,0.17952669
0.7,0.005517264,0.95062534,0.7,0.179850223
0.8,0.005574766,0.950856139,0.8,0.180068157
0.9,0.005452124,0.950894348,0.9,0.18031304
1,0.005153639,0.951567428,1,0.180736948
1.1,0.005249099,0.951073398,1.1,0.181263124
1.2,0.005391607,0.951175924,1.2,0.181716479
1.3,0.005973205,0.951912499,1.3,0.182115407
1.4,0.005495781,0.951981581,1.4,0.182557785
1.5,0.005947106,0.952135605,1.5,0.183005538
1.6,0.005956709,0.95227071,1.6,0.183401438
1.7,0.005952006,0.952363963,1.7,0.183997559
1.8,0.006079121,0.952943898,1.8,0.184575891
1.9,0.005865326,0.95260487,1.9,0.185202518
2,0.005585476,0.953222228,2,0.185692132
2.1,0.005564066,0.953300535,2.1,0.186288178
2.2,0.005711922,0.95371637,2.2,0.186781652
2.3,0.006356699,0.954178358,2.3,0.187384965
2.4,0.005877445,0.95493758,2.4,0.188102883
2.5,0.005839936,0.955022121,2.5,0.188663199
2.6,0.005423167,0.955564671,2.6,0.189210571
2.7,0.005314544,0.956506884,2.7,0.189854608
2.8,0.005798533,0.957698026,2.8,0.190555117
2.9,0.006007553,0.958951537,2.9,0.191046396
3,0.00594777,0.959321728,3,0.191594979
3.1,0.005992053,0.962068585,3.1,0.192094131
3.2,0.006329878,0.960277755,3.2,0.19269275
3.3,0.006189889,0.957779084,,
3.4,0.005957623,0.968028985,3.3,0.193777122
3.5,0.005944759,0.966139487,3.4,0.200302054
3.6,0.005993036,0.965015761,3.5,0.206724793
3.7,0.00588372,0.921150525,3.6,0.21318137
3.8,0.005915187,0.843554442,3.7,0.219495861
3.9,0.005895275,0.838036736,3.8,0.225919888
4,0.006077043,0.734357609,3.9,0.232239073
4.1,0.006341192,0.708772167,4,0.238640087
4.2,0.006514891,0.720953194,4.1,0.245064113
4.3,0.00607201,0.755027772,4.2,0.251300787
4.4,0.005966689,0.760167178,4.3,0.257726631
4.5,0.005796836,0.860962977,4.4,0.264037262
4.6,0.005630201,0.925662866,4.5,0.270473702
4.7,0.005600511,0.930673857,4.6,0.276788724
4.8,0.005523989,0.966594993,4.7,0.283061657
4.9,0.006171258,0.926349618,4.8,0.289502337
5,0.006213849,0.922654886,4.9,0.295879734
5.1,0.006382879,0.831230462,5,0.302228214
5.2,0.00613639,0.769437931,5.1,0.308576542
5.3,0.006342422,0.720336467,5.2,0.314925022
5.4,0.006904139,0.710625492,5.3,0.321273502
5.5,0.006768075,0.728043814,5.4,0.327621831
5.6,0.006474403,0.771557132,5.5,0.33397031
5.7,0.006553621,0.867614532,5.6,0.34031879
5.8,0.00654861,0.872631753,5.7,0.346667119
5.9,0.006415242,0.950079253,5.8,0.353015599
6,0.005850049,0.969366086,5.9,0.359364079
6.1,0.005873087,0.968536013,6,0.365712407
6.2,0.00615031,0.930965118,6.1,0.372060887
6.3,0.006257986,0.864101799,6.2,0.378409367
6.4,0.006684389,0.779107725,6.3,0.384757696
6.5,0.006694039,0.773177483,6.4,0.391106175
6.6,0.007339576,0.711511216,6.5,0.397454655
6.7,0.006696236,0.751976671,6.6,0.403802984
6.8,0.006732535,0.755709784,6.7,0.410151464
6.9,0.006567087,0.85384223,6.8,0.416499944
7,0.006506017,0.934262694,6.9,0.422848272
7.1,0.006556359,0.968084544,7,0.429196752
7.2,0.005978678,0.962757634,7.1,0.435545232
7.3,0.005945743,0.961174095,7.2,0.441913393
7.4,0.005816947,0.888853973,7.3,0.448335603
7.5,0.006759285,0.800217603,7.4,0.454684083
7.6,0.006829774,0.792456799,7.5,0.461032563
7.7,0.006773605,0.710378124,7.6,0.467380891
7.8,0.006493829,0.71703719,7.7,0.473729371
7.9,0.00691281,0.753176437,7.8,0.480077851
8,0.006947327,0.75646938,7.9,0.48642618
8.1,0.006855183,0.864802238,8,0.49277466
8.2,0.006532034,0.940656963,8.1,0.49912314
8.3,0.006556589,0.969560204,8.2,0.505471468
8.4,0.006581227,0.96973977,8.3,0.511819948
8.5,0.006584506,0.913462666,8.4,0.518168428
8.6,0.006631647,0.908758114,8.5,0.524516756
8.7,0.006311584,0.781008101,8.6,0.530865236
8.8,0.006664049,0.714335289,8.7,0.537213716
8.9,0.006690722,0.712324687,8.8,0.543562045
9,0.006867542,0.754785149,8.9,0.549910525
9.1,0.006587506,0.848317284,9,0.556259005
9.2,0.006471804,0.854158728,9.1,0.562607333
9.3,0.006420564,0.941284691,9.2,0.568955813
9.4,0.006417707,0.968287189,9.3,0.575304293
9.5,0.006608758,0.964199831,9.4,0.581652621
9.6,0.005789091,0.915392302,9.5,0.588001101
9.7,0.005706606,0.910294498,9.6,0.594349581
9.8,0.00583858,0.849261021,9.7,0.60069791
9.9,0.006803654,0.744663383,9.8,0.60704639
10,0.006859706,0.739689042,9.9,0.61339487
10.1,0.006362078,0.710587665,10,0.619743198
10.2,0.006669512,0.736223716,10.1,0.626091678
10.3,0.006701845,0.739762436,10.2,0.632440158
10.4,0.006493571,0.824805135,10.3,0.638788486
10.5,0.006549246,0.908749225,10.4,0.645136966
10.6,0.006183875,0.955205452,10.5,0.651485446
10.7,0.006213986,0.957872753,10.6,0.657833926
10.8,0.005998728,0.963044273,10.7,0.664182255
10.9,0.006083792,0.914683803,10.8,0.670530735
11,0.005963178,0.852502015,10.9,0.676879215
11.1,0.006055105,0.847720043,11,0.683227543
11.2,0.006443537,0.742064756,11.1,0.689576023
11.3,0.006336245,0.708177816,11.2,0.695924503
11.4,0.00601502,0.722500665,11.3,0.702272831
11.5,0.006408339,0.766727405,11.4,0.708621311
11.6,0.006054306,0.824159189,11.5,0.714969791
11.7,0.006000485,0.829639946,11.6,0.72131812
11.8,0.005952164,0.909967502,11.7,0.7276666
11.9,0.005662712,0.964313519,11.8,0.73401508
12,0.005621248,0.965213508,11.9,0.740363408
12.1,0.005567165,0.963705476,12,0.746711888
12.2,0.005193803,0.912812182,12.1,0.753060368
12.3,0.005603985,0.837576603,12.2,0.759408696
12.4,0.00587071,0.761001056,12.3,0.765757176
12.5,0.005858229,0.75454659,12.4,0.772105656
12.6,0.005359843,0.709443293,12.5,0.778453985
12.7,0.005493298,0.733509492,12.6,0.784802465
12.8,0.005499883,0.736891238,12.7,0.791150945
12.9,0.006090488,0.843139354,12.8,0.797499273
13,0.006016199,0.857337992,12.9,0.803847753
13.1,0.005316355,0.965514013,13,0.810196233
13.2,0.00543364,0.968609687,13.1,0.816544561
13.3,0.005949216,0.95105639,13.2,0.822893041
13.4,0.006027611,0.94726009,13.3,0.829241521
13.5,0.006434909,0.898808553,13.4,0.83558985
13.6,0.006481873,0.825396379,13.5,0.84193833
13.7,0.006651919,0.740054982,13.6,0.84828681
13.8,0.006639165,0.73575606,13.7,0.854635138
13.9,0.006892361,0.715447338,13.8,0.860983618
14,0.006553561,0.753043953,13.9,0.867332098
14.1,0.006649114,0.826738565,14,0.873680426
14.2,0.006391447,0.888814507,14.1,0.880028906
14.3,0.006428481,0.896310196,14.2,0.886377386
14.4,0.005874551,0.969177455,14.3,0.892725866
14.5,0.006010284,0.963764039,14.4,0.899074195
14.6,0.006045263,0.962436406,14.5,0.905422675
14.7,0.006023581,0.930252037,14.6,0.911771154
14.8,0.006036234,0.876231002,14.7,0.918119483
14.9,0.006424373,0.777761085,14.8,0.924467963
15,0.006523184,0.771681548,14.9,0.930816443
15.1,0.006320465,0.709645595,15,0.937218365
15.2,0.006202218,0.721852079,15.1,0.943582893
15.3,0.006224146,0.770365081,15.2,0.949855827
15.4,0.006364947,0.777709014,15.3,0.956325423
15.5,0.006275689,0.880941726,15.4,0.962598357
15.6,0.006235737,0.943020478,15.5,0.96890384
15.7,0.00619595,0.947336371,15.6,0.975327867
15.8,0.005253589,0.96753154,15.7,0.98166696
15.9,0.005894932,0.945669948,15.8,0.987966993
