"Total Time (s)","Cycle Elapsed Time (s)","Total Cycles","Elapsed Cycles","Step","Total Cycle Count(Linear Waveform)","Total Cycle Count(Rotary Waveform)","Position(Linear:Position) (in)","Force(Linear:Load) (lb)","Rotation(Rotary:Rotation) (deg)","Torque(Rotary:Torque) (N·m)","Force(Linear:External Load Cell) (lbf)",
0,0,1,1,1,0,0,0.341812904612284,1.48233023662651,-2.23796814680099E-05,-0.108509566013136,0.546894499118394,
0.001,0.001,1,1,1,0,0,0.341817434565234,1.74799930959532,2.25473195314407E-05,-0.108239136532571,0.555371435403909,
0.005,0.005,1,1,1,0,0,0.341798480288419,0.295527274186577,0.000446881167590618,-0.142050187386753,0.559157651265822,
0.015,0.015,1,1,1,0,0,0.341764446036654,-0.136792657357004,0.000637443736195564,-0.124485950462254,0.557659844983556,
0.025,0.025,1,1,1,0,0,0.341764922873807,1.34799627082331,0.000234986655414104,-0.106525013482607,0.555410318296671,
0.035,0.035,1,1,1,0,0,0.341739114062924,-0.560246398145965,-3.77185642719269E-07,-0.118826924211358,0.552671938186772,
0.045,0.045,1,1,1,0,0,0.341747756736314,0.846274182238306,0.000450150109827518,-0.1056968889643,0.548941648497563,
0.055,0.055,1,1,1,0,0,0.341743196981043,0.906251354990151,0.000450150109827518,-0.111848370456069,0.546737337725494,
0.065,0.065,1,1,1,0,0,0.341734941737839,0.0897981210672816,0.00074322335422039,-0.125823366298046,0.547379534101639,
0.075,0.075,1,1,1,0,0,0.341739531295432,0.728014843790645,0.00017103273421526,-0.133606894966301,0.548181639284665,
0.085,0.085,1,1,1,0,0,0.34174930645706,0.954866392531243,7.9544261097908E-05,-0.086781556891762,0.549274784084173,
0.095,0.095,1,1,1,0,0,0.341727014320177,0.361911946139241,-0.000147060491144657,-0.152901038762588,0.551795373428266,
0.117,0.117,1,1,1,0,0,0.341689821022277,0.447407356987369,0.000269562005996704,-0.136883616376731,0.54837963935655,
0.127,0.127,1,1,1,0,0,0.341667052048241,0.746529536248824,0.000204727984964848,-0.0983510982879319,0.546822600691538,
0.137,0.137,1,1,1,0,0,0.341681804197649,0.06983056541822,0.000568083487451077,-0.127699536585392,0.548476031677529,
0.149,0.149,1,1,1,0,0,0.341658379572529,0.276993955277234,4.97885048389435E-05,-0.121865836039656,0.550826793584612,
0.159,0.159,1,1,1,0,0,0.341620888251408,0.0554881980210396,-0.000155316665768623,-0.121416523245098,0.54647335315176,
0.169,0.169,1,1,1,0,0,0.341576512593897,1.48484480753381,0.000259168446063995,-0.104221627751255,0.546216819192207,
0.179,0.179,1,1,1,0,0,0.341548438806539,0.330470496572435,0.000138720497488976,-0.125938062069959,0.544495354785468,
