Time,Position,Strain,
0,0.341812905,,
0.001,0.341817435,,
0.005,0.34179848,,
0.015,0.341764446,,
0.025,0.341764923,,
0.035,0.341739114,,
0.045,0.341747757,,
0.055,0.341743197,,
0.065,0.341734942,,
0.075,0.341739531,,
0.085,0.341749306,,
0.095,0.341727014,,
0.117,0.341689821,,
0.127,0.341667052,,
0.137,0.341681804,,
0.149,0.34165838,,
0.159,0.341620888,,
0.169,0.341576513,,
0.179,0.341548439,,
0.195,0.34151658,,
0.205,0.341500278,,
0.215,0.341516014,,
0.225,0.341497209,,
0.235,0.341493394,,
0.245,0.341450121,,
0.255,0.341384556,,
0.265,0.341368761,,
0.275,0.341357257,,
0.285,0.341351237,,
0.295,0.341291066,,
0.312,0.341254081,,
0.322,0.341234561,,
0.337,0.341169264,,
0.347,0.341143187,,
0.357,0.341096695,,
0.375,0.341023322,,
0.385,0.340988036,,
0.395,0.340971674,,
0.405,0.340964134,,
0.415,0.340935852,,
0.425,0.340896215,,
0.443,0.340864774,,
0.453,0.340879764,,
0.463,0.34086686,,
0.473,0.340875443,,
0.492,0.340871837,,
0.502,0.340879347,,
0.512,0.340872463,,
0.522,0.34086078,,
0.532,0.340808626,,
0.542,0.340769883,,
0.552,0.340754952,,
0.562,0.34072664,,
0.572,0.340727146,,
0.582,0.340679969,,
0.592,0.340646531,,
0.602,0.34060594,,
0.612,0.34057277,,
0.622,0.340553995,,
0.632,0.340496238,,
0.642,0.340473707,,
0.652,0.340472575,,
0.662,0.340422239,,
0.672,0.340415772,,
0.682,0.34040245,,
0.692,0.340391781,,
0.702,0.340367105,,
0.712,0.340338852,,
0.722,0.340296443,,
0.74,0.340226676,,
0.75,0.340203579,,
0.76,0.340124603,,
0.77,0.340106036,,
0.78,0.34009796,,
0.79,0.340094801,,
0.8,0.34005418,,
0.81,0.340046372,,
0.82,0.340041693,,
0.83,0.340020623,,
0.842,0.339970942,,
0.852,0.339932795,,
0.862,0.339886572,,
0.872,0.339856919,,
0.882,0.339803096,,
0.892,0.339789744,,
0.902,0.339780893,,
0.912,0.339722093,,
0.922,0.339685674,,
0.932,0.339638646,,
0.942,0.339610811,,
0.952,0.339580353,,
0.962,0.339523192,,
0.972,0.33950543,,
0.982,0.339512791,,
0.992,0.3395009,,
1.002,0.339482572,,
1.012,0.339408334,,
1.023,0.339366074,,
1.033,0.339366104,,
1.043,0.339321878,,
1.053,0.339265253,,
1.063,0.339250739,,
1.073,0.339157816,,
1.083,0.339117791,,
1.093,0.339055653,,
1.103,0.338992919,,
1.113,0.338902589,,
1.123,0.338859733,,
1.139,0.338767823,,
1.149,0.338745173,,
1.161,0.338682081,,
1.171,0.338616844,,
1.181,0.338575061,,
1.191,0.338544275,,
