#Digilent WaveForms Logger,,,,,,
#Device Name: Discovery2NI,,,,,,
#Serial Number: SN:210321AD0E05,,,,,,
#Date Time: 2020-04-07 14:51:14.905,,,,,,
,,,,,,
Time (s),C1 DC (V),C1 True RMS (Ṽ),C1 AC RMS (Ṽ),C2 DC (V),C2 True RMS (Ṽ),C2 AC RMS (Ṽ)
0,7.38E-06,0.001941765,0.001941751,0.083428079,0.084048746,0.010195457
0.1,0.000142934,0.001937968,0.001932689,0.083490725,0.08433272,0.011887241
0.2,0.000684687,0.002018333,0.00189865,0.083543311,0.084021971,0.008955826
0.3,0.000833385,0.002021598,0.001841827,0.084228758,0.084447517,0.006074485
0.4,0.000696474,0.002006666,0.001881923,0.08394708,0.08424509,0.007079749
0.5,0.000513321,0.001974592,0.001906703,0.083747253,0.083879265,0.004704112
0.6,9.08E-05,0.001943098,0.001940976,0.083310104,0.083614032,0.007122704
0.7,0.000692847,0.002020353,0.001897838,0.083248829,0.083662414,0.008308547
0.8,0.000233151,0.001918517,0.001904297,0.082937429,0.08400817,0.013369946
0.9,0.0001248,0.001916863,0.001912796,0.082961207,0.084366532,0.015334599
1,-0.000420126,0.001930014,0.001883733,0.083407502,0.083853479,0.008636816
1.1,-0.000404258,0.001889251,0.001845493,0.083304616,0.08340338,0.004057675
1.2,0.000151095,0.001934857,0.001928948,0.082475129,0.082741928,0.006639256
1.3,0.000103493,0.001932858,0.001930085,0.08268273,0.082879621,0.005709443
1.4,8.90E-05,0.001932397,0.001930347,0.082658037,0.08285372,0.005691029
1.5,-0.000639547,0.001920181,0.001810546,0.082929198,0.08357215,0.010346615
1.6,-0.000881182,0.001982211,0.001775578,0.08240791,0.083836148,0.015408961
1.7,-0.000297721,0.001907493,0.001884116,0.083183897,0.083351091,0.005276709
1.8,-0.000203425,0.001909641,0.001898775,0.082920967,0.083416405,0.009077985
1.9,-0.000671281,0.001957065,0.001838338,0.082795218,0.083043425,0.006415784
2,-0.00055749,0.00192832,0.001845975,0.082944288,0.083228736,0.006875146
2.1,-0.000280494,0.001901306,0.001880502,0.082033864,0.082250779,0.005969571
2.2,0.000132961,0.001911957,0.001907328,0.078291569,0.079505991,0.013843151
2.3,-0.000261907,0.001959945,0.001942367,0.078008519,0.079210092,0.013744445
2.4,-0.000329002,0.001921167,0.001892787,0.078264132,0.079770463,0.015428945
