Time,C1 True RMS (?),C1 AC RMS (?),Position,Strain
0,0.603850283,0.603807086,3.809313224,0
0.1,0.605324429,0.60530228,3.819113679,0.002572762
0.2,0.627902596,0.627855802,3.831810639,0.005905898
0.3,0.623679692,0.623558234,3.844507296,0.009238955
0.4,0.632317801,0.63196384,3.857258455,0.012586319
0.5,0.665712374,0.665544705,3.870106508,0.015959119
0.6,0.645560813,0.645539772,3.882954561,0.01933192
0.7,0.686543015,0.686529361,3.895606102,0.022653133
0.8,0.690878994,0.690808547,3.908151969,0.025946605
0.9,0.699801804,0.699752248,3.921187147,0.029368528
1,0.71071532,0.710668175,3.933732711,0.032661921
1.1,0.715185717,0.715164722,3.946497496,0.036012862
1.2,0.715545072,0.71553831,3.959179014,0.039341945
1.3,0.718086865,0.71807306,3.971802698,0.042655845
1.4,0.684021006,0.684016819,3.984801844,0.046068309
1.5,0.686506937,0.686504218,3.9972923,0.049347235
1.6,0.711950479,0.711940664,4.009986534,0.052679656
1.7,0.705770047,0.705763206,4.022683494,0.056012792
1.8,0.721724847,0.721705704,4.035519435,0.059382413
1.9,0.713076573,0.713076566,4.048357193,0.062752511
2,0.70491993,0.704919928,4.061054153,0.066085647
2.1,0.710155153,0.710155015,4.073751113,0.069418783
2.2,0.680773706,0.680609978,4.086448073,0.07275192
2.3,0.655584786,0.655581899,4.09914473,0.076084976
2.4,0.640050212,0.639790109,4.11184169,0.079418112
2.5,0.679943169,0.67993952,4.124538649,0.082751249
2.6,0.628085085,0.628056676,4.137235307,0.086084305
2.7,0.610320158,0.610279297,4.149932266,0.089417442
2.8,0.606620063,0.60659738,4.162629226,0.092750578
2.9,0.650048602,0.649990405,4.175325883,0.096083635
3,0.601188505,0.601134781,4.188022843,0.099416771
3.1,0.599294675,0.599291006,4.200719803,0.102749907
3.2,0.570012525,0.569855124,4.21341646,0.106082964
3.3,0.562634308,0.562529214,4.22611342,0.1094161
3.4,0.588148641,0.588133371,4.23881038,0.112749236
3.5,0.574693763,0.574682729,4.251507037,0.116082293
3.6,0.556691049,0.55667828,4.264203996,0.119415429
3.7,0.568461502,0.568457461,4.276900956,0.122748565
3.8,0.554976153,0.554916611,4.289597613,0.126081622
3.9,0.550239613,0.550220867,4.302294573,0.129414758
4,0.587730336,0.587717189,4.314991533,0.132747894
4.1,0.612262014,0.612260928,4.32768819,0.136080951
4.2,0.58521553,0.58521339,4.34038515,0.139414087
4.3,0.614371752,0.614361537,4.35308211,0.142747223
4.4,0.615433286,0.615367862,4.365778767,0.14608028
4.5,0.648075179,0.647977325,4.378475726,0.149413416
4.6,0.629047997,0.629040436,4.391174503,0.152747029
4.7,0.586615632,0.58661058,4.404022556,0.15611983
4.8,0.583347023,0.583221729,4.416762815,0.159464333
4.9,0.621932667,0.621734364,4.429308682,0.162757805
5,0.669253435,0.668944633,4.441903298,0.166064074
5.1,0.664199461,0.664188432,4.454751351,0.169436875
5.2,0.659054604,0.65899861,4.467599404,0.172809675
5.3,0.619978214,0.619964363,4.480229749,0.176125324
5.4,0.70743741,0.70741514,4.492775313,0.179418717
5.5,0.693173233,0.693012428,4.505443811,0.182744381
5.6,0.700054647,0.700037868,4.518291863,0.186117181
5.7,0.660967413,0.66070219,4.531079964,0.189474243
5.8,0.660340777,0.660138591,4.543625528,0.192767636
5.9,0.605366012,0.605296958,4.556199251,0.196068421
6,0.656882339,0.656864156,4.568928913,0.199410141
6.1,0.657729872,0.65769388,4.581776965,0.202782942
6.2,0.674690938,0.674665088,4.594524794,0.206129432
6.3,0.674537472,0.674515866,4.606945911,0.209390155
6.4,0.699202133,0.699171849,4.619767015,0.212755881
6.5,0.702204236,0.702165703,4.632615068,0.216128681
6.6,0.670562579,0.670548772,4.645246322,0.219444569
6.7,0.63665934,0.636566133,4.657777655,0.222734226
6.8,0.65760841,0.657493642,4.670474615,0.226067362
6.9,0.682424346,0.682320052,4.683186411,0.229404393
7,0.731193977,0.731159765,4.69615982,0.232810101
7.1,0.743822474,0.743822461,4.708634531,0.236084894
7.2,0.768627175,0.768625029,4.721331491,0.23941803
7.3,0.750575501,0.750417495,4.73402845,0.242751166
7.4,0.741773134,0.741609963,4.746725107,0.246084223
7.5,0.733996394,0.733934087,4.759635232,0.249473318
7.6,0.71993871,0.719872468,4.772121752,0.252751211
7.7,0.70480538,0.704706141,4.784969805,0.256124011
7.8,0.742401286,0.742235786,4.797743371,0.259477257
7.9,0.74340441,0.742783002,4.810440331,0.262810393
8,0.749770341,0.74967901,4.823136988,0.26614345
8.1,0.77636194,0.776234661,4.835695875,0.26944034
